features,,,,,,,,
x,Spanish,AAVE,Non_Word,Swear_word,Drug_ref,Structure,likely_rap,likely_hiphop
moon,,,,,,,,
morning,,,,,,,,
motherfucker,,,,1,,,,
motherfuckers,,,,1,,,,
motherfuckin,,,,1,,,,
motherfucking,,,,1,,,,
mouth,,,,,,,,
moves,,,,,,,,
movin,,,,,,,,
moving,,,,,,,,
mr,,,,,,,,
murder,,,,,,,,
music,,,,,,,,
must,,,,,,,,
nah,,1,,,,,,
neck,,,,,,,,
new,,,,,,,,
news,,,,,,,,
next,,,,,,,,1
nice,,,,,,,,
nights,,,,,,,,
nine,,,,,,,,
none,,,,,,,,
nose,,,,,,,,
nothin,,,,,,,,
nowhere,,,,,,,,
o,1,,1,,,,,
ocean,,,,,,,,
oh.oh,,,1,,,,,
okay,,,,,,,,
ol,,,1,,,,,
old,,,,,,,,
ooh,,,1,,,,,
outro,,,,,,1,,
p,,1,,,,,,
pain,,,,,,,,
paint,,,,,,,,
paper,,,,,,,,
part,,,,,,,,
party,,,,,,,,
paul,,,,,,,,
pay,,,,,,,,
peace,,,,,,,,1
pen,,,,,,,,
people,,,,,,,,
perfect,,,,,,,,
phone,,,,,,,,
picture,,,,,,,,
pimp,,,,,,,,
pistol,,,,,,,,
place,,,,,,,,
plan,,,,,,,,
played,,,,,,,,
player,,,,,,,,
playin,,1,,,,,,
playing,,,,,,,,
point,,,,,,,,
police,,,,,,,,
poppin,,1,,,,,,
post.chorus,,,,,,1,,
pound,,,,,,,,
pour,,,,,,,,
power,,,,,,,,
pressure,,,,,,,,
price,,,,,,,,
probably,,,,,,,,
problem,,,,,,,,
problems,,,,,,,,
produced,,,,,,,,
promise,,,,,,,,
punk,,,,,,,,
push,,,,,,,,
pussy,,,,1,,,,
puttin,,,,,,,,
que,1,,,,,,1,
quick,,,,,,,,
quit,,,,,,,,
racks,,1,,,,,1,
raise,,,,,,,,
raised,,,,,,,,
rapper,,,,,,,,
rappers,,,,,,,,1
rather,,,,,,,,
raw,,,,,,,,1
read,,,,,,,,
real,,,,,,,,
realize,,,,,,,,
reason,,,,,,,,
red,,,,,,,,
remember,,,,,,,,
respect,,,,,,,,
rhyme,,,,,,,,1
rhymes,,,,,,,,1
rhythm,,,,,,,,1
rich,,,,,,,,
ride,,,,,,,,
ridin,,,,,,,,
riding,,,,,,,,
rip,,,,,,,,
road,,,,,,,,
rocks,,,,,,,,
roll,,,,,,,,
rollin,,,,,1,,,
rolling,,,,,1,,,
roof,,,,,,,,
room,,,,,,,,
rough,,,,,,,,
round,,,,,,,,
rush,,,,,,,,
sad,,,,,,,,
save,,,,,,,,
saw,,,,,,,,
sayin,,,,,,,,
saying,,,,,,,,
says,,,,,,,,
scared,,,,,,,,
scene,,,,,,,,
scream,,,,,,,,
screamin,,,,,,,,
screaming,,,,,,,,
se,1,,,,,,1,
seat,,,,,,,,
second,,,,,,,,
secret,,,,,,,,
seems,,,,,,,,
seen,,,,,,,,
sellin,,,,,,,,
sent,,,,,,,,
sex,,,,,,,,
share,,,,,,,,
shawty,,1,,,,,,
shine,,,,,,,,
shoot,,,,,,,,
shootin,,,,,1,,,
shop,,,,,,,,
short,,,,,,,,
shout,,,,,,,,
shows,,,,,,,,
sick,,,,,,,,
sight,,,,,,,,
sign,,,,,,,,
singing,,,,,,,,
sip,,,,,1,,,
sippin,,1,,,,,,
sit,,,,,,,,
sittin,,,,,,,,
sitting,,,,,,,,
six,,,,,,,,
skin,,,,,,,,
skrrt,,1,1,,,,,
slowly,,,,,,,,
small,,,,,,,,
smell,,,,,,,,
smile,,,,,,,,
smoke,,,,,1,,,
smokin,,,,,1,,,
smoking,,,,,1,,,
smooth,,,,,,,,
sold,,,,,,,,
solo,1,,,,,,,
somebody,,,,,,,,
somehow,,,,,,,,
someone,,,,,,,,
somethin,,,,,,,,
something,,,,,,,,
somewhere,,,,,,,,
song,,,,,,,,
soon,,,,,,,,
sorry,,,,,,,,
soul,,,,,,,,
sounds,,,,,,,,
speed,,,,,,,,
spin,,,,,,,,
spit,,,,,,,,1
